"Snake_ID","Snake_Name","Date","Time","Year","Location","UTM_E","UTM_N","Observers","Status","Snake_Sex","Habitat_Category","HabitatCategory2","HabitatComplexity","Percent_H20","Overstory","Understory","Behavior","Other_Behavior","Percent_Hidden","Snake_Temp","Substrate_Temp_Shade","Substrate_Temp_Sun","Water_Temp","Burrow_Type","Condition","Position","Skin","Survey_Time","Associated_Snakes","External_Marks","Comments","Designation","GlobalID","Season","Sector.1","Sector.2","Longitude","Latitude"
"PYBI_44","Joey","2/7/2018",1845,2018,"V",430161.000156174,2878036.99963713,"IB, IE, MH","inactive","male","disturbed","urban / anthro",1,NA,NA,"para, ragweed","moving",NA,20,NA,NA,NA,NA,NA,"healthy","outstretched","normal",NA,0,NA,"seemed to be on the move away from rubble pile he was in before",NA,"dee6a0d1-280d-430d-b7c8-16fcee4ed366","Breeding","S","E",-81.69795295,26.01956364
"PYBI_21","Johnny","2/7/2018",1909,2018,"B",435815.999760587,2880429.99992645,"IB, IE, MH","inactive","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moving back towards location closer to Six L's",NA,"1fcd916f-907c-4cb0-ae69-7d57321bd56c","Breeding","N","E",-81.64155881,26.04143247
"PYBI_13","Kirkland","2/7/2018",1740,2018,"V",428132.999901286,2877714.00007139,"IB, IE, MH","active","male","mangrove swamp","marsh / wet prairie",NA,NA,"mangroves","sawgrass","moving",NA,0,NA,NA,NA,NA,NA,"healthy",NA,"normal",NA,0,NA,"was swimming out from the mangroves into open water as we approached",NA,"07a2acf6-925c-4d22-a33b-3c56f9dcbc5a","Breeding","S","W",-81.71820126,26.01654796
"PYBI_28","Shrek","2/7/2018",1544,2018,"V",426562.000044283,2874778.99942017,"IB, IE, MH","active","male","disturbed",NA,NA,NA,"brazilain pepper ","snake weed, vines",NA,NA,100,NA,NA,NA,NA,"DILLO","healthy",NA,"normal",NA,0,NA,"about 2m into burrow, very close to prior location",NA,"3af91b83-2cb6-495d-8872-394b5f5454a0","Breeding","S","W",-81.73373532,25.98996866
"PYBI_32","Argo","2/8/2018",1935,2018,"V",434883.000412242,2883160.99959553,"IB, IE, MH","inactive","male","disturbed",NA,NA,NA,NA,NA,"courting",NA,100,NA,NA,NA,NA,"ANTHRO","healthy",NA,"normal",NA,1,NA,"WITH A GIRL! Could not get them out, so covered up entrances to figure out on Monday",NA,"8fa8888b-7dd9-4fe5-bcb4-7c3e7582efd5","Breeding","N","E",-81.65102047,26.06604952
"PYBI_40","Bowie","2/8/2018",1735,2018,"V",434692.000004339,2877203.00027234,"IB, IE, MH","inactive","male","agricultural retention",NA,1,NA,NA,"para, debris","resting",NA,95,31.1,30.72,NA,NA,NA,"healthy","coiled","normal",NA,0,NA,"a lot of hurricane debris nearby",NA,"afc878db-977d-400e-94a3-312de5584847","Breeding","S","E",-81.65263209,26.01224479
"PYBI_44","Joey","2/8/2018",1821,2018,"M",430374.000116639,2877362.99957943,"IB, IE, MH","inactive","male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"moved to other side of bridge into """"no-man's land""""",NA,"189ea07d-53f4-4091-b357-2abfedc22549","Breeding","S","E",-81.69578853,26.01348824
"PYBI_21","Johnny","2/8/2018",1910,2018,"P",435770.999676573,2880782.99962192,"IB, IE, MH","inactive","male","disturbed",NA,NA,NA,"brazilian pepper","dead trees, earleaf aracia ","not visible",NA,100,NA,NA,NA,NA,NA,"healthy",NA,"normal",NA,0,NA,NA,NA,"1000ba15-7e50-40a2-82bd-5b7bf7c6503f","Breeding","N","E",-81.64202595,26.04461779
"PYBI_39","Mick","2/8/2018",1805,2018,"P",434226.00028625,2876731.99944566,"IB, IE, MH","inactive","male","disturbed",NA,1,NA,NA,"para, cattail","not visible",NA,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,"in para edge",NA,"15960b47-dd78-477a-a927-0bcc474be343","Breeding","S","E",-81.65726497,26.00797091
"PYBI_32","Argo","2/12/2018",1825,2018,"V",434883.000412242,2883160.99959553,"IB, IE, MH, AF, NC","inactive","male","disturbed",NA,NA,NA,NA,NA,"courting",NA,100,NA,NA,NA,NA,"ANTHRO","healthy",NA,"normal",NA,1,NA,"grabbed him and a large girl after picking up pipe with excavator and shaking them out…lol. Also took blood sample, swab, and weight before release",NA,"b952900b-d3b0-4aac-b162-d3c7a42cdb9e","Breeding","N","E",-81.65102047,26.06604952
